"date","meangrowth","exp_week","treatment"
1999-08-03,1.01006666666667,5,"reference"
1999-08-13,1.23846666666667,7,"reference"
1999-08-25,1.00786666666667,8,"reference"
1999-09-02,0.762933333333333,10,"reference"
1999-11-01,0.788666666666667,18,"reference"
1999-11-11,0.700666666666667,20,"reference"
1999-11-21,0.652133333333333,21,"reference"
1999-11-30,0.601466666666667,22,"reference"
1999-12-13,0.602533333333333,24,"reference"
1999-12-25,0.5482,26,"reference"
2000-01-09,0.4934,28,"reference"
2000-01-22,0.6014,30,"reference"
2000-02-05,0.5208,32,"reference"
2000-02-20,0.471666666666667,34,"reference"
2000-03-04,0.6492,36,"reference"
2000-03-18,0.656066666666667,38,"reference"
2000-04-03,0.617466666666667,40,"reference"
2000-04-16,0.658533333333333,42,"reference"
2000-04-29,0.813733333333333,44,"reference"
2000-05-13,0.7158,46,"reference"
2000-05-26,0.890933333333333,48,"reference"
2000-06-09,1.12366666666667,50,"reference"
2000-06-25,1.2144,52,"reference"
2000-07-09,1.11066666666667,54,"reference"
2000-07-23,1.111,56,"reference"
2000-08-05,1.04286666666667,58,"reference"
2000-09-14,1.05546666666667,64,"reference"
2000-09-30,0.883,66,"reference"
2000-10-14,0.782333333333333,68,"reference"
2000-10-28,0.774133333333333,70,"reference"
2000-11-12,0.671333333333333,72,"reference"
2000-11-25,0.7346,74,"reference"
