plot,treatment,date,interval,exp_week,ag_biomass
102,reference,1999-07-20,1,3,68.96
102,reference,1999-09-23,2,13,72.587
102,reference,2000-01-22,3,30,64.48
102,reference,2000-06-24,4,52,44.107
102,reference,2000-11-21,5,73,70.133
104,reference,1999-07-20,1,3,74.987
104,reference,1999-09-23,2,13,39.04
104,reference,2000-01-22,3,30,55.467
104,reference,2000-06-24,4,52,81.973
104,reference,2000-11-21,5,73,80.853
106,reference,1999-07-20,1,3,77.653
106,reference,1999-09-23,2,13,86.507
106,reference,2000-01-22,3,30,42.187
106,reference,2000-06-24,4,52,59.36
106,reference,2000-11-21,5,73,58.56
108,reference,1999-07-20,1,3,85.92
108,reference,1999-09-23,2,13,65.71
108,reference,2000-01-22,3,30,76.053
108,reference,2000-06-24,4,52,67.147
108,reference,2000-11-21,5,73,72.48
110,reference,1999-07-20,1,3,78.827
110,reference,1999-09-23,2,13,81.92
110,reference,2000-01-22,3,30,79.52
110,reference,2000-06-24,4,52,62.507
110,reference,2000-11-21,5,73,77.92
112,reference,1999-07-20,1,3,78.4
112,reference,1999-09-23,2,13,42.453
112,reference,2000-01-22,3,30,51.413
112,reference,2000-06-24,4,52,46.933
112,reference,2000-11-21,5,73,43.68
114,reference,1999-07-20,1,3,94.4
114,reference,1999-09-23,2,13,70.13
114,reference,2000-01-22,3,30,47.73
114,reference,2000-06-24,4,52,60.16
114,reference,2000-11-21,5,73,58.613
116,reference,1999-07-20,1,3,82.24
116,reference,1999-09-23,2,13,67.84
116,reference,2000-01-22,3,30,44.373
116,reference,2000-06-24,4,52,59.733
116,reference,2000-11-21,5,73,71.733
118,reference,1999-07-20,1,3,73.067
118,reference,1999-09-23,2,13,65.547
118,reference,2000-01-22,3,30,55.36
118,reference,2000-06-24,4,52,60.693
118,reference,2000-11-21,5,73,65.547
120,reference,1999-07-20,1,3,77.493
120,reference,1999-09-23,2,13,51.307
120,reference,2000-01-22,3,30,53.493
120,reference,2000-06-24,4,52,77.387
120,reference,2000-11-21,5,73,64.373
122,reference,1999-07-20,1,3,36.533
122,reference,1999-09-23,2,13,24.747
122,reference,2000-01-22,3,30,27.307
122,reference,2000-06-24,4,52,26.613
122,reference,2000-11-21,5,73,46.4
124,reference,1999-07-20,1,3,56.747
124,reference,1999-09-23,2,13,54.187
124,reference,2000-01-22,3,30,25.92
124,reference,2000-06-24,4,52,49.813
124,reference,2000-11-21,5,73,51.413
126,reference,1999-07-20,1,3,44.427
126,reference,1999-09-23,2,13,31.307
126,reference,2000-01-22,3,30,29.813
126,reference,2000-06-24,4,52,35.413
126,reference,2000-11-21,5,73,24.533
128,reference,1999-07-20,1,3,56.32
128,reference,1999-09-23,2,13,42.13
128,reference,2000-01-22,3,30,32.907
128,reference,2000-06-24,4,52,56.267
128,reference,2000-11-21,5,73,56.907
130,reference,1999-07-20,1,3,91.04
130,reference,1999-09-23,2,13,76.16
130,reference,2000-01-22,3,30,44
130,reference,2000-06-24,4,52,75.307
130,reference,2000-11-21,5,73,59.893
101,summer,1999-07-29,0,5,95.95
101,summer,1999-08-12,1,7,14.84
101,summer,1999-08-29,2,9,14.325
101,summer,1999-11-03,5,18,15.017
101,summer,1999-11-21,6,21,12.75
101,summer,1999-12-12,7,24,16.533
101,summer,2000-01-10,8,28,16.677
101,summer,2000-02-06,9,32,21.411
101,summer,2000-03-02,10,36,20.872
101,summer,2000-04-02,11,40,26.35
101,summer,2000-04-25,12,43,22.594
101,summer,2000-05-13,13,46,19.989
101,summer,2000-06-01,14,49,20.283
101,summer,2000-06-25,15,52,30.972
101,summer,2000-07-16,16,55,15.167
101,summer,2000-07-31,17,57,15.656
101,summer,2000-09-22,19,65,16.289
101,summer,2000-10-12,20,68,17.611
101,summer,2000-11-03,21,71,12.217
103,summer,1999-07-29,0,5,76.75
103,summer,1999-08-12,1,7,15.04
103,summer,1999-08-29,2,9,13.648
103,summer,1999-11-03,5,18,11.983
103,summer,1999-11-21,6,21,11.733
103,summer,1999-12-12,7,24,13.177
103,summer,2000-01-10,8,28,14.45
103,summer,2000-02-06,9,32,17.689
103,summer,2000-03-02,10,36,17.111
103,summer,2000-04-02,11,40,22.511
103,summer,2000-04-25,12,43,17.556
103,summer,2000-05-13,13,46,18.372
103,summer,2000-06-01,14,49,17.644
103,summer,2000-06-25,15,52,28.239
103,summer,2000-07-16,16,55,13.689
103,summer,2000-07-31,17,57,13.494
103,summer,2000-09-22,19,65,15.761
103,summer,2000-10-12,20,68,15.139
103,summer,2000-11-03,21,71,13
105,summer,1999-07-29,0,5,106.29
105,summer,1999-08-12,1,7,17.683
105,summer,1999-08-29,2,9,14.553
105,summer,1999-11-03,5,18,16.517
105,summer,1999-11-21,6,21,12.992
105,summer,1999-12-12,7,24,18.067
105,summer,2000-01-10,8,28,17.543
105,summer,2000-02-06,9,32,18.664
105,summer,2000-03-02,10,36,20.343
105,summer,2000-04-02,11,40,25.014
105,summer,2000-04-25,12,43,20.979
105,summer,2000-05-13,13,46,19.171
105,summer,2000-06-01,14,49,23.779
105,summer,2000-06-25,15,52,31.15
105,summer,2000-07-16,16,55,15.743
105,summer,2000-07-31,17,57,16.143
105,summer,2000-09-22,19,65,16.621
105,summer,2000-10-12,20,68,17.757
105,summer,2000-11-03,21,71,16.371
107,summer,1999-07-29,0,5,87.52
107,summer,1999-08-12,1,7,18.517
107,summer,1999-08-29,2,9,12.625
107,summer,1999-11-03,5,18,10.696
107,summer,1999-11-21,6,21,9.436
107,summer,1999-12-12,7,24,8.925
107,summer,2000-01-10,8,28,12.539
107,summer,2000-02-06,9,32,12.6
107,summer,2000-03-02,10,36,12.432
107,summer,2000-04-02,11,40,16.761
107,summer,2000-04-25,12,43,18.607
107,summer,2000-05-13,13,46,13.571
107,summer,2000-06-01,14,49,16.575
107,summer,2000-06-25,15,52,19.657
107,summer,2000-07-16,16,55,21.254
107,summer,2000-07-31,17,57,12.246
107,summer,2000-09-22,19,65,23.843
107,summer,2000-10-12,20,68,15.029
107,summer,2000-11-03,21,71,13.957
109,summer,1999-07-29,0,5,94.67
109,summer,1999-08-12,1,7,16.78
109,summer,1999-08-29,2,9,11.428
109,summer,1999-11-03,5,18,12.514
109,summer,1999-11-21,6,21,11.877
109,summer,1999-12-12,7,24,10.975
109,summer,2000-01-10,8,28,14.992
109,summer,2000-02-06,9,32,14.686
109,summer,2000-03-02,10,36,14.275
109,summer,2000-04-02,11,40,16.719
109,summer,2000-04-25,12,43,20.286
109,summer,2000-05-13,13,46,15.917
109,summer,2000-06-01,14,49,18.119
109,summer,2000-06-25,15,52,15.2
109,summer,2000-07-16,16,55,22.561
109,summer,2000-07-31,17,57,12.433
109,summer,2000-09-22,19,65,11.072
109,summer,2000-10-12,20,68,12.267
109,summer,2000-11-03,21,71,12.106
111,summer,1999-07-29,0,5,80.53
111,summer,1999-08-12,1,7,16.703
111,summer,1999-08-29,2,9,18.638
111,summer,1999-11-03,5,18,12.381
111,summer,1999-11-21,6,21,12.6
111,summer,1999-12-12,7,24,11.469
111,summer,2000-01-10,8,28,16.267
111,summer,2000-02-06,9,32,15.331
