plot,treatment,date,interval,exp_week,gr_length
102,reference,1999-08-03,1,5,2.784
102,reference,1999-08-13,2,7,2.567
102,reference,1999-08-25,3,8,2.598
102,reference,1999-09-02,4,10,2.458
102,reference,1999-11-01,9,18,2.779
102,reference,1999-11-11,10,20,2.086
102,reference,1999-11-21,11,21,1.823
102,reference,1999-11-30,12,22,2.103
102,reference,1999-12-13,13,24,1.781
102,reference,1999-12-25,14,26,1.263
102,reference,2000-01-09,15,28,1.518
102,reference,2000-01-22,16,30,1.489
102,reference,2000-02-05,17,32,1.275
102,reference,2000-02-20,18,34,1.379
102,reference,2000-03-04,19,36,1.519
102,reference,2000-03-18,20,38,1.719
102,reference,2000-04-03,21,40,1.45
102,reference,2000-04-16,22,42,1.252
102,reference,2000-04-29,23,44,1.693
102,reference,2000-05-13,24,46,1.803
102,reference,2000-05-26,25,48,1.313
102,reference,2000-06-09,26,50,2.232
102,reference,2000-06-25,27,52,2.615
102,reference,2000-07-09,28,54,1.823
102,reference,2000-07-23,29,56,2.4
102,reference,2000-08-05,30,58,2.992
102,reference,2000-09-14,32,64,1.268
102,reference,2000-09-30,33,66,2.031
102,reference,2000-10-14,34,68,2.057
102,reference,2000-10-28,35,70,2.126
102,reference,2000-11-12,36,72,2.158
102,reference,2000-11-25,37,74,1.276
104,reference,1999-08-03,1,5,3.206
104,reference,1999-08-13,2,7,4.762
104,reference,1999-08-25,3,8,2.732
104,reference,1999-09-02,4,10,2.731
104,reference,1999-11-01,9,18,2.89
104,reference,1999-11-11,10,20,2.91
104,reference,1999-11-21,11,21,2.58
104,reference,1999-11-30,12,22,2.5
104,reference,1999-12-13,13,24,1.842
104,reference,1999-12-25,14,26,2.136
104,reference,2000-01-09,15,28,1.183
104,reference,2000-01-22,16,30,2.502
104,reference,2000-02-05,17,32,1.812
104,reference,2000-02-20,18,34,1.462
104,reference,2000-03-04,19,36,1.653
104,reference,2000-03-18,20,38,2.164
104,reference,2000-04-03,21,40,1.647
104,reference,2000-04-16,22,42,1.612
104,reference,2000-04-29,23,44,1.924
104,reference,2000-05-13,24,46,1.774
104,reference,2000-05-26,25,48,1.988
104,reference,2000-06-09,26,50,2.647
104,reference,2000-06-25,27,52,3.273
104,reference,2000-07-09,28,54,2.509
104,reference,2000-07-23,29,56,3.655
104,reference,2000-08-05,30,58,3.531
104,reference,2000-09-14,32,64,2.533
104,reference,2000-09-30,33,66,2.475
104,reference,2000-10-14,34,68,2.824
104,reference,2000-10-28,35,70,1.823
104,reference,2000-11-12,36,72,2.574
104,reference,2000-11-25,37,74,3.038
106,reference,1999-08-03,1,5,2.25
106,reference,1999-08-13,2,7,4.856
106,reference,1999-08-25,3,8,4.007
106,reference,1999-09-02,4,10,2.519
106,reference,1999-11-01,9,18,2.683
106,reference,1999-11-11,10,20,2.236
106,reference,1999-11-21,11,21,2.167
106,reference,1999-11-30,12,22,1.254
106,reference,1999-12-13,13,24,1.72
106,reference,1999-12-25,14,26,1.478
106,reference,2000-01-09,15,28,1.075
106,reference,2000-01-22,16,30,1.222
106,reference,2000-02-05,17,32,1.478
106,reference,2000-02-20,18,34,1.315
106,reference,2000-03-04,19,36,1.871
106,reference,2000-03-18,20,38,1.386
106,reference,2000-04-03,21,40,1.38
106,reference,2000-04-16,22,42,1.205
106,reference,2000-04-29,23,44,2.102
106,reference,2000-05-13,24,46,1.632
106,reference,2000-05-26,25,48,1.629
106,reference,2000-06-09,26,50,2.164
106,reference,2000-06-25,27,52,2.079
106,reference,2000-07-09,28,54,1.867
106,reference,2000-07-23,29,56,2.433
106,reference,2000-08-05,30,58,3.205
106,reference,2000-09-14,32,64,2.519
106,reference,2000-09-30,33,66,2.377
106,reference,2000-10-14,34,68,2.746
106,reference,2000-10-28,35,70,2.226
106,reference,2000-11-12,36,72,1.788
106,reference,2000-11-25,37,74,1.721
108,reference,1999-08-03,1,5,3.238
108,reference,1999-08-13,2,7,3.364
108,reference,1999-08-25,3,8,3.523
108,reference,1999-09-02,4,10,2.407
108,reference,1999-11-01,9,18,2.957
108,reference,1999-11-11,10,20,2.567
108,reference,1999-11-21,11,21,2.179
108,reference,1999-11-30,12,22,1.867
108,reference,1999-12-13,13,24,1.83
