treatment,date,exp_week,min_temp,max_temp,salinity
reference,1999-07-08,2,27.5,29,NA
reference,1999-07-20,3,27.67,30.5,37
reference,1999-07-27,4,29.17,31.5,37.67
reference,1999-08-04,5,28.83,32.5,37.33
reference,1999-08-11,6,29.33,32.5,36.67
reference,1999-08-17,7,30.17,32.5,36.67
reference,1999-08-24,8,29.83,31.67,36.67
reference,1999-08-31,9,29.17,32.5,35.67
reference,1999-09-07,10,30,32.67,37
reference,1999-09-19,12,28.17,31.83,NA
reference,1999-09-23,13,29.33,30.67,34.67
reference,1999-10-05,14,28.83,31.17,33.67
reference,1999-10-13,15,28.17,30.33,35.67
reference,1999-10-19,16,28.33,30.17,36.67
reference,1999-10-27,17,26,30.67,37.33
reference,1999-11-02,18,26.17,29.67,35.67
reference,1999-11-14,19,25.17,29,36
reference,1999-11-17,20,25,27.17,36.67
reference,1999-11-24,21,24.67,27.17,35
reference,1999-11-30,22,24.83,27.5,38
reference,1999-12-07,23,22.5,26.5,38.67
reference,1999-12-15,24,24,25.67,38.67
reference,1999-12-21,25,23.83,26.5,37.33
reference,2000-01-01,26,23.17,26,37
reference,2000-01-06,27,24.17,26,39.33
reference,2000-01-11,28,24.33,26.17,39.33
reference,2000-01-18,29,21.5,25.5,39.67
reference,2000-01-25,30,22.17,24.83,40
reference,2000-02-01,31,22,24.83,37.33
reference,2000-02-08,32,22.67,25.83,38
reference,2000-02-16,33,22.67,26,38.33
reference,2000-02-23,34,22.33,26.33,40
reference,2000-02-29,35,22.17,24.83,38.67
reference,2000-03-08,36,24,26.67,40
reference,2000-03-14,37,23.17,26.5,38.33
reference,2000-03-21,38,24.17,26.33,39
reference,2000-03-26,39,23.17,26.33,38.33
reference,2000-04-05,40,23.83,28.33,38.67
reference,2000-04-13,41,23.83,26.67,37.33
reference,2000-04-18,42,25.17,27,39
reference,2000-04-27,43,26.17,29.67,39.67
reference,2000-05-02,44,25.67,29.17,39
reference,2000-05-10,45,25,27.67,39
reference,2000-05-16,46,26.83,29.5,40.67
reference,2000-05-25,47,25.67,29.83,39.33
reference,2000-05-30,48,28.67,30.83,40.67
reference,2000-06-07,49,27.67,31.67,38
reference,2000-06-16,50,28.33,30.83,39.33
reference,2000-06-22,51,27.33,30.33,38
reference,2000-06-27,52,28,30.17,38
reference,2000-07-05,53,28,31.33,39.33
reference,2000-07-14,54,29,32.33,40
reference,2000-07-19,55,31,32.5,40
reference,2000-07-25,56,29.83,32,40
reference,2000-08-01,57,29.17,31,40
reference,2000-08-09,58,29.17,31.17,39
reference,2000-08-29,61,28.17,31.5,39.33
reference,2000-09-05,62,29.5,31.33,38
reference,2000-09-14,63,30.67,31.75,39
reference,2000-09-20,64,29.33,31.33,38.33
